arxiv_id,date,title_short,decision,who_maintains_belief,credited_object,revision_signal,belief_level_metrics,survey_section,role_in_survey,note,bibkey,first_author,title,venue,evidence
2303.11366,2023-03-20,Reflexion,include,external memory,step/trajectory,verbal self-reflection after episode failure (binary/scalar env feedback),no,4;5,foundation: episodic reflective memory as text-based revision signal,Agent writes natural-language reflections on failed trials into an episodic memory buffer reused in later attempts; no weight updates. 91% pass@1 on HumanEval.,shinn2023reflexion,Shinn,Reflexion: Language Agents with Verbal Reinforcement Learning,NeurIPS 2023,P
2304.03442,2023-04-07,Generative Agents,include,external memory,action/turn,observation stream; periodic reflection triggered by importance threshold,no,3;4,foundation: memory stream + reflection + planning architecture,"Memory stream of natural-language observations retrieved by recency/importance/relevance and synthesised into higher-level reflections that drive planning; 25-agent sandbox with ablations showing observation, planning, reflection each matter.",park2023generative,Park,Generative Agents: Interactive Simulacra of Human Behavior,UIST 2023,P
2310.08560,2023-10-12,MemGPT,include,external memory,output,self-directed memory paging via function calls; interrupts,no,3;8,foundation: OS-style tiered memory managed by the LLM itself,LLM manages main context vs external storage tiers through explicit memory read/write functions (virtual context management); evaluated on document analysis beyond context length and multi-session chat consistency.,packer2023memgpt,Packer,MemGPT: Towards LLMs as Operating Systems,arXiv,A
2305.16291,2023-05-25,Voyager,include,external memory,step/trajectory,"environment execution feedback, errors, self-verification",no,3;5;6,foundation: skill library as procedural memory plus iterative prompting,"Automatic curriculum, growing code skill library, and iterative prompting with execution feedback/self-verification in Minecraft; 3.3x more unique items, 2.3x longer distances, tech-tree milestones up to 15.3x faster.",wang2023voyager,Wang,Voyager: An Open-Ended Embodied Agent with Large Language Models,TMLR 2024,P
2207.05608,2022-07-12,Inner Monologue,include,context (free-form trace),action/turn,"success detection, scene description, human feedback injected into prompt",no,2;4;6,foundation: closed-loop textual feedback as state update for embodied LLM planners,"Environment feedback (success detectors, object/scene descriptions, human responses) is appended into the LLM's prompt as an inner monologue enabling replanning; improves long-horizon completion in simulated and real kitchen tasks.",huang2022inner,Huang,Inner Monologue: Embodied Reasoning through Planning with Language Models,CoRL 2022,P
2204.01691,2022-04-04,SayCan,include,n/a,action/turn,affordance value functions score skill feasibility,no,2;6,foundation: grounding LLM plans in affordance values; open-loop baseline for later feedback work,"Combines LLM likelihood of a skill with a learned value function estimating feasibility to pick each step; no explicit belief maintenance, open-loop w.r.t. state. Real mobile manipulator long-horizon tasks.",ahn2022do,Ahn,"Do As I Can, Not As I Say: Grounding Language in Robotic Affordances",CoRL 2022,P
2309.02427,2023-09-05,CoALA,include,external memory,n/a,conceptual: learning actions update memory modules,no,2;3;8,foundation: taxonomy of memory modules (working/episodic/semantic/procedural) and decision cycle,"Conceptual framework organising language agents by modular memory, structured action space (internal vs external), and a decision loop; retrospective survey of existing agents.",sumers2023cognitive,Sumers,Cognitive Architectures for Language Agents,TMLR 2024,P
2305.14992,2023-05-24,RAP,include,learned world model,step/trajectory,LLM-as-world-model predicted next states plus task reward in MCTS,no,3;6,foundation: LLM as explicit world model for planning (state predicted in text),LLM repurposed as world model predicting next state and as reasoning agent; MCTS over the reasoning tree. LLaMA-33B with RAP beats CoT on GPT-4 by 33% relative in plan generation.,hao2023reasoning,Hao,Reasoning with Language Model is Planning with World Model,EMNLP 2023,P
2305.10601,2023-05-17,Tree of Thoughts,include,context (free-form trace),step/trajectory,self-evaluation of intermediate thoughts; backtracking,no,2;6,foundation: deliberate search over thought states with self-evaluation,Generalises CoT to tree search where the LM generates and evaluates intermediate thoughts with lookahead/backtracking; Game of 24 success 74% vs 4% for GPT-4 CoT.,yao2023tree,Yao,Tree of Thoughts: Deliberate Problem Solving with Large Language Models,NeurIPS 2023,P
2302.04761,2023-02-09,Toolformer,exclude(no state or belief maintenance; single-turn tool use),n/a,output,n/a,no,6,background: self-supervised API-call learning; tool use as evidence acquisition,"Model self-annotates API calls (calculator, search, QA) and is fine-tuned on those that reduce loss; improves zero-shot performance but no sequential state tracking.",schick2023toolformer,Schick,Toolformer: Language Models Can Teach Themselves to Use Tools,NeurIPS 2023,P
2303.17651,2023-03-30,Self-Refine,include,context (free-form trace),output,self-generated natural-language feedback on own output,no,4;5,foundation: iterative self-feedback loop without external signal,"Same LM generates output, critiques it, and refines iteratively with no training; about 20% absolute improvement averaged over seven tasks with GPT-3.5/ChatGPT/GPT-4.",madaan2023self,Madaan,Self-Refine: Iterative Refinement with Self-Feedback,NeurIPS 2023,P
2305.14078,2023-05-23,LLM-MCTS,include,learned world model,step/trajectory,LLM-sampled world state belief (object locations) plus LLM policy prior in MCTS,partial (belief sampled from LLM as commonsense prior over object locations),3;6,foundation: LLM as commonsense belief prior over world state for MCTS,Uses the LLM both as a commonsense world model (sampling initial belief over object locations) and as heuristic policy inside MCTS for household tasks; outperforms MCTS alone and GPT-3.5 policies by a wide margin on complex novel tasks.,zhao2023large,Zhao,Large Language Models as Commonsense Knowledge for Large-Scale Task Planning,NeurIPS 2023,P
2302.01560,2023-02-03,DEPS,include,context (free-form trace),step/trajectory,descriptor of execution outcome; self-explanation of failure,no,4;5,foundation: describe-explain-plan loop for open-world replanning,"Plans are iteratively refined via a descriptor summarising execution and an explainer diagnosing failure, plus a learned selector ranking sub-goals; first zero-shot agent on 70+ Minecraft tasks, roughly doubling performance.",wang2023describe,Wang,"Describe, Explain, Plan and Select: Interactive Planning with Large Language Models Enables Open-World Multi-Task Agents",NeurIPS 2023,P
2308.03688,2023-08-07,AgentBench,include,evaluator-side oracle,output,n/a (benchmark),no,7,foundation: multi-environment agent benchmark; outcome-level metrics only,Eight interactive environments for evaluating LLMs as agents; finds open-source models below 70B lag far behind commercial LLMs with long-term reasoning and instruction following as bottlenecks.,liu2023agentbench,Liu,AgentBench: Evaluating LLMs as Agents,ICLR 2024,P
2401.13649,2024-01-24,VisualWebArena,include,evaluator-side oracle,output,n/a (benchmark),no,7,foundation: multimodal web-agent benchmark with outcome-based evaluation,Benchmark of realistic visually grounded web tasks; text-only LLM agents struggle and current multimodal agents show large gaps.,koh2024visualwebarena,Koh,VisualWebArena: Evaluating Multimodal Agents on Realistic Visual Web Tasks,ACL 2024,P
2010.03768,2020-10-08,ALFWorld,include,evaluator-side oracle,output,n/a (environment),no,7,foundation: partially observable text environment used by ReAct/Reflexion/ExpeL,Aligns TextWorld with ALFRED embodied tasks so text-learned policies (BUTLER) transfer to visual execution; standard partially observed testbed for later LLM agents.,shridhar2020alfworld,Shridhar,ALFWorld: Aligning Text and Embodied Environments for Interactive Learning,ICLR 2021,P
2106.01345,2021-06-02,Decision Transformer,include,context (free-form trace),action/turn,return-to-go conditioning over past state-action history,no,2;5,foundation: sequence-modelling view of control; history-in-context as implicit state,"Casts offline RL as autoregressive sequence modelling conditioned on desired return, past states and actions; matches or exceeds model-free offline RL baselines on Atari, Gym, Key-to-Door.",chen2021decision,Chen,Decision Transformer: Reinforcement Learning via Sequence Modeling,NeurIPS 2021,P
2302.02083,2023-02-04,LLM ToM (Kosinski),include,n/a,output,n/a (probing),yes (false-belief task accuracy),2;7,foundation: false-belief probing of LLM belief attribution,"640 false-belief prompts over 40 tasks; GPT-4 solves 75%, comparable to six-year-olds, older models fail; framed as emergent ToM.",kosinski2023evaluating,Kosinski,Evaluating Large Language Models in Theory of Mind Tasks,PNAS 2024,P
2310.03051,2023-10-04,FaR / T4D,include,context (free-form trace),action/turn,foresee-and-reflect structured prompting from inferred mental states,partial (belief tracking accuracy vs action selection on T4D),2;7,foundation: gap between tracking others' beliefs and acting on them,T4D benchmark shows GPT-4 tracks beliefs well but fails to select actions; FaR zero-shot prompting raises GPT-4 from 50% to 71% on T4D and generalises OOD.,zhou2023how,Zhou,How FaR Are Large Language Models From Agents with Theory-of-Mind?,ICLR 2024,P
2109.07506,2021-09-15,Schema-driven DST,include,model-written,belief state,dialogue history plus schema descriptions; state regenerated each turn,yes (joint goal accuracy),2;3;7,foundation: pre-LLM-agent belief-state tracking with explicit slot-value state,Generative T5 DST with schema-driven prompts encoding task-aware history; SOTA on MultiWOZ 2.2 and competitive on 2.1 and M2M; belief state as explicit slot-value object.,lee2021dialogue,Lee,Dialogue State Tracking with a Language Model using Schema-Driven Prompting,EMNLP 2021,P
2304.11477,2023-04-22,LLM+P,include,n/a,output,"n/a (translate to PDDL, symbolic planner)",no,3;6,foundation: externalising state to a symbolic planner representation,"LLM translates NL problem into PDDL, classical planner solves, LLM translates back; produces optimal plans for most benchmark problems while bare LLMs fail to give feasible plans.",liu2023llmp,Liu,LLM+P: Empowering Large Language Models with Optimal Planning Proficiency,arXiv,A
2303.17491,2023-03-30,RCI,include,context (free-form trace),action/turn,recursive self-criticism of proposed action against task and state,no,4;5,foundation: self-critique loop for computer-control actions,"Recursive Criticism and Improvement prompting critiques and revises output at task, state and agent grounding levels; SOTA on MiniWoB++ with a handful of demos per task, beating SL and RL baselines.",kim2023language,Kim,Language Models can Solve Computer Tasks,NeurIPS 2023,P
2308.10144,2023-08-20,ExpeL,include,external memory,step/trajectory,cross-task insight extraction from success/failure trajectories,no,3;5,foundation: cross-task experiential memory of natural-language insights,"Collects trajectories, extracts insights by comparing successes and failures, retrieves insights and similar experiences at inference without parameter updates; performance grows with experience and transfers across tasks.",zhao2023expel,Zhao,ExpeL: LLM Agents Are Experiential Learners,AAAI 2024,P
