arxiv_id,date,title_short,decision,who_maintains_belief,credited_object,revision_signal,belief_level_metrics,survey_section,role_in_survey,note,bibkey,first_author,title
2603.21663,2026-03-23,TAMTRL,include,model-written,step/trajectory,teacher likelihood of memory update,partial (per-turn memory reward via teacher probability),3;5,dense per-turn credit for written memory updates,"Fixed-length natural-language memory M_t rewritten per document chunk; per-turn reward R_t = normalized teacher probability (same LLM with filtered relevant content) times binary final-outcome reward. Qwen3-1.7B: 43.21% avg over seven long-context benchmarks vs MemAgent 40.23%.",wang2026tamtrl,Li Wang,TAMTRL: Teacher-Aligned Reward Reshaping for Multi-Turn Reinforcement Learning in Long-Context Compression
2605.02178,2026-05-04,T2PO,include,context (free-form trace),action/turn,token-level entropy/confidence plateau,partial (turn-level uncertainty statistic),4;5;6,uncertainty-triggered exploration control in multi-turn RL,"Hybrid token uncertainty M_t = a*entropy + (1-a)*(1-confidence); forced </think> when trailing-window change < eps; turn resampled when |Phi_k - Phi_{k-1}| < eta. WebShop Qwen3-4B: 81.64% success vs GiGPO 73.83%; ALFWorld +8-12 points across categories.",wang2026t2po,Haixin Wang,T²PO: Uncertainty-Guided Exploration Control for Stable Multi-Turn Agentic Reinforcement Learning
2603.22293,2026-03-11,TIPS,include,context (free-form trace),action/turn,teacher answer-likelihood gain,partial (information potential per turn),5;6,potential-based turn reward for search agents,"Dense turn-level reward for each reasoning+tool-call segment equals the increase in teacher-model likelihood of the correct answer (potential-based shaping). Qwen-2.5 7B: +11.8% EM over PPO across seven QA benchmarks.",xie2026tips,Yutao Xie,TIPS: Turn-Level Information-Potential Reward Shaping for Search-Augmented LLMs
2608.28128,2026-08-28,VICT,include,evaluator-side oracle,action/turn,verifier atom proof edges,no,5;7,verifier-structure-based credit tracing,"Decomposes verifier into atoms; write/reveal/commit/violation witness predicates create proof edges from actions to atoms; leave-one-out atom marginals redistributed only along proof edges and clipped into GRPO advantage. ALFWorld Qwen2.5-7B 93.7% vs GRPO 77.6%; WebShop 83.6% vs 66.1%.",li2026vict,Pengcheng Li,VICT: Verifier-Instrumented Credit Tracing for Long-Horizon LLM Agent Reinforcement Learning
2603.29206,2026-03-31,RIDE,exclude(mechanistic probe of routing meta-prompts on internal activation density; no agent belief/state or credit assignment),n/a,n/a,n/a,n/a,n/a,n/a,"Controlled intervention with routing-style meta prompts on frozen 7-8B models; finds densification rather than sparsification and weak link to output stability.",zhang2026route,Dianxing Zhang,Route-Induced Density and Stability (RIDE): Controlled Intervention and Mechanism Analysis of Routing-Style Meta Prompts on LLM Internal States
2605.20833,2026-05-20,MemGym,include,external memory,n/a,none,partial (memory-isolated score deltas),3;7,long-horizon agent memory benchmark,"Five tracks (tau2-bench, SWE-Gym, WebArena-Infinity, MemGym-DR, MemGym-CodeQA) with memory module wrapping prompts; memory-isolated score = paired delta with reasoning model held fixed. Memory gives ~0 on SWE-Gym but +8.7 pts on tau2-bench and +4.3 on WebArena; 1717 configurations.",xu2026memgym,Wujiang Xu,MemGym: a Long-Horizon Memory Environment for LLM Agents
2605.17641,2026-05-17,CMI,include,external memory,belief state,counterfactual answer-score intervention,partial (utility and stability per memory),3;4;6,causal selection of memories over relevance,"Each candidate memory scored under no-memory / with-memory / perturbed-memory conditions; kept only if Utility>0 and Stability>=0. On Causal-LoCoMo: useful-F1 0.875 vs 0.486 (reflection) and poisoned-memory adoption 0.000 vs 0.540.",srivastava2026causal,Saksham Sahai Srivastava,Causal Intervention-Based Memory Selection for Long-Horizon LLM Agents
2603.23638,2026-03-24,EnterpriseArena,include,context (free-form trace),n/a,none,partial (observation-tool allocation analysis),6;7,long-horizon finance benchmark with observation-budget failure mode,"132-month FinTech lending simulator with capped 20 observation tool calls per step; 23 LLMs x 4 frameworks, only 15.4% of trials survive. Failed agents spent 62% of observations on internal state whereas successful agents spent 67% on external signals.",han2026can,Yi Han,Can LLM Agents Be CFOs? Benchmarking Long-Horizon Resource Allocation in an Uncertain Enterprise Environment
2606.30639,2026-06-29,WorldEvolver,include,learned world model,belief state,prediction-observation mismatch,partial (world-model exact match; confidence gating),3;4;6,test-time self-evolving world model with mismatch-derived rules,"Episodic memory of real transitions plus semantic rules written by an LLM critic from factorized prediction/observation mismatches, each rule with evidence score +/-1/|MS|; foresight shown only when mean token logprob exp(l)>tau. World-model EM 52.88% ALFWorld vs 20.06% RAWM; agent success ScienceWorld 52.22% vs 44.44%.",zhang2026selfevolving,Xuan Zhang,Self-Evolving World Models for LLM Agent Planning
2607.01767,2026-07-02,WM-SAR,include,learned world model,step/trajectory,spectral error amplification,no,4;5,root-cause repair of failed planning graphs,"Planning graph of planner/tool/validator/memory nodes; after a failed rollout estimates coupling operator spectral radius to select the amplifying subgraph for LLM repair instead of the visible symptom. Selects ~8.3 nodes vs 25+ for neighbourhood repair; 50% root-cause identification at 855 tokens vs 2157 for full-graph repair.",song2026repair,Xinyuan Song,"Repair the Amplifier, Not the Symptom: Stable World-Model Correction for Agent Rollouts"
2609.00012,2026-08-02,MD5 state tracking,include,context (free-form trace),n/a,majority vote over arithmetic,no,4;7,stress test of exact state maintenance across deep tool chains,"gpt-oss-120b executes 196 dependent tool calls tracking four 32-bit MD5 registers; 62% success (21/34 completed runs) only with reasoning kept in context and 3-sample voting on arithmetic. Failure modes: register rotation errors, dropped/duplicated calls, reproducible round-skip; stripping reasoning collapses within 12-24 steps.",pai2026longhorizon,Dheeraj Mohandas Pai,Long-Horizon State Tracking in LLMs: Executing MD5 through a Deep Sequence of Dependent Tool Calls
2603.00532,2026-02-28,DenoiseFlow,include,context (free-form trace),step/trajectory,semantic entropy over samples,partial (per-step semantic entropy and propagated risk),4;6,uncertainty-routed compute and root-cause recovery in workflows,"Per-step semantic entropy from 5 clustered samples propagated over a probabilistic dependency graph; confidence routed to direct/branch/refine with adaptive quantile thresholds; on verification failure, influence-based root-cause localization forces re-branching at the culprit node. 83.3% avg over six benchmarks vs JudgeFlow 82.0% with 40-56% fewer LLM calls.",yan2026denoiseflow,Yandong Yan,DenoiseFlow: Uncertainty-Aware Denoising for Reliable LLM Agentic Workflows
2606.12479,2026-06-10,ReCal,"exclude(RL for query-to-model routing; credit assignment over reward components, not agent belief or state)",n/a,n/a,n/a,n/a,n/a,n/a,"Hierarchical reward decomposition with component-wise advantages and variance-aware reweighting for LLM routers; seven datasets.",yu2026recal,Qihang Yu,ReCal: Reward Calibration for RL-based LLM Routing
2602.04326,2026-02-04,PCE,include,model-written,belief state,scenario likelihood scoring,partial (assumption-tree path scores),3;6,structured assumptions from reasoning traces as explicit belief tree,"Planner-Composer-Evaluator turns assumptions latent in LLM reasoning into a decision tree (internal nodes = environment assumptions, leaves = actions); paths scored by scenario likelihood, goal gain and cost, reducing communication in partially observable multi-agent tasks. Outperforms communication-centric baselines in success and efficiency on two benchmarks; exact numbers unclear.",seo2026assumptions,SeungWon Seo,From Assumptions to Actions: Turning LLM Reasoning into Uncertainty-Aware Planning for Embodied Agents
2608.21863,2026-08-22,HiDiffTIR,include,context (free-form trace),action/turn,group tool-call success rate,no,5,difficulty-weighted turn-level credit for tool RL,"Turn difficulty = minimum group-level success rate of the turn's ground-truth tool calls; trajectory advantage redistributed with weights r/sqrt(s) fused by coefficient alpha. Qwen3-4B on FTRL: 39.48 vs MatchTIR 35.43.",guo2026hidifftir,Yucan Guo,HiDiffTIR: Hierarchical Difficulty-Aware Policy Optimization for Multi-Turn Tool-Integrated Reasoning
2608.13179,2026-08-13,CrEST,include,context (free-form trace),action/turn,verified turn reward with self-teacher magnitude,no,5,verifier-bounded turn and token credit,"Group-relative advantages computed within each turn from its own verified reward (fixes direction); a privileged self-teacher conditioned on ground truth modulates only per-token magnitude through an entropy gate. BFCL V3 Qwen3-4B 52.0% vs MT-GRPO 49.25%; WildToolBench Qwen3-8B 9.38% vs 7.03%.",wang2026teach,Zechuan Wang,"Teach the Magnitude, Not the Direction: Verifier-Bounded Credit Assignment for Multi-Turn Multi-step LLM Agents"
2609.02236,2026-09-02,PGPO,include,context (free-form trace),action/turn,potential difference between consecutive states,no,5,potential-based step credit from rollout groups,"Estimates state potentials from rollout-group statistics and sets action advantage to the potential difference between consecutive states so credit propagates across trajectories, giving finer signal inside failed trajectories. Competitive on ALFWorld and WebShop with small overhead; exact numbers unclear.",zheng2026pgpo,Yuyao Zheng,PGPO: Potential-Guided Policy Optimization for Multi-Turn Agentic Tasks
2605.27899,2026-05-27,SkillC,include,context (free-form trace),step/trajectory,skill-vs-no-skill reward gap,no,5,contrastive credit for internalizing external skills,"Paired skill-injected and skill-free rollouts per task; contrastive gap Delta = E[R|skill] - E[R|no skill] drives a dual-stream advantage that downweights skill-dependent successes and upweights skill-free wins, with a curriculum gate shifting sampling. ALFWorld 90.6% vs Skill0 85.9%; WebShop 74.0% vs 70.9% without skills at inference.",lin2026skillc,Hongxiang Lin,SKILLC: Learning Autonomous Skill Internalization in LLM Agents via Contrastive Credit Assignment
2607.15626,2026-07-17,LLM fortunetelling,exclude(qualitative HCI study of human users' beliefs about LLM fortunetelling; not about agent belief or state),n/a,n/a,n/a,n/a,n/a,n/a,"Analysis of 1045 social-media posts and 20 interviews on Chinese users' LLM fortunetelling practices; ICWSM 2027.",lin2026understanding,Xueer Lin,"Understanding Fortunetelling with Large Language Models in China: User Practices, Perceptions, and Impacts on Beliefs and Decisions"
