arxiv_id,date,title_short,decision,who_maintains_belief,credited_object,revision_signal,belief_level_metrics,survey_section,role_in_survey,note,bibkey,first_author,title
2607.17038,2026-07-19,RLAW: POMDP routing + self-correcting critique,include,external memory,action/turn,critique score (logic/safety check),no,3;5,peripheral: graph-memory belief proxy with pre-execution critique,"Belief b_t is approximated by a Graph Memory M_t (semantic scene graph) updated by a GAT module from (o_t, a_{t-1}); a lightweight critique model scores proposed actions (logic/safety/critique_score) before execution. Claims +24.5% absolute success over ReAct on ALFWorld/WebShop; no belief-quality metric reported.",ali2026reward,Amez Amanj Ali,Reward-Driven LLM Agent Workflows: Synthesizing POMDP Routing and Self-Correction for Autonomous Decision-Making
2606.29406,2026-06-28,Governance-aware POMDP for AI delegation,include,external Bayesian filter,n/a,Bayesian update on evidence quality,"partial (forecast-accuracy validation, confidence-perturbation robustness)",6;8,peripheral: belief maintained outside the LLM to decide how much authority to delegate,"Formulates delegation of decision authority to LLM recommendations as a POMDP; Bayesian inference over an informational state, LLM confidence treated as noisy evidence; benchmarked against five heuristic governance strategies under identical beliefs. Numbers are on synthetic stress tests; no headline number in abstract.",dixon2026adaptive,Matthew Francis Dixon,Adaptive AI Delegation under Uncertainty: A Bayesian Governance Policy for Sequential Decision Authority
2606.22030,2026-06-20,Nous: when belief-based memory helps,include,probabilistic memory,belief state,surprise (information-theoretic) + reliability-conditioned + provenance-capped update,yes (belief updating vs last-write-wins on contradiction benchmark; poisoning resistance; token-F1 vs LLM-judge gap),3;4;7,core: probabilistic memory with explicit revision signal and negative result on standard benchmarks,Each entity-attribute pair is a categorical distribution updated by closed-form Bayes; surprise drives revision and entropy drives forgetting. On LoCoMo Bayesian updating barely beats last-write-wins; gains appear only under contradictory/differently-reliable evidence; provenance-capped trust resists volumetric poisoning; 27.5-point discrepancy between token-F1 and LLM-judge scoring.,singh2026when,Pranav Singh,When Does Belief-Based Agent Memory Help? Reliability-Conditional Updating and Provenance-Capped Poisoning Defense
2602.16165,2026-02-18,HiPER: hierarchical RL with explicit credit assignment,include,context (free-form trace),step/trajectory,none (reward-based),no,5,core: subgoal-level credit assignment (hierarchical advantage estimation),"Factorizes policy into planner (subgoals) and executor; hierarchical advantage estimation aggregates returns per subgoal, giving an unbiased lower-variance gradient than flat GAE. 97.4% ALFWorld and 83.3% WebShop with Qwen2.5-7B-Instruct (+6.6/+8.3 over prior best).",peng2026hiper,Jiangweizhi Peng,HiPER: Hierarchical Reinforcement Learning with Explicit Credit Assignment for Large Language Model Agents
2605.24216,2026-05-22,Agent-ToM: learning to monitor agents via ToM,include,evaluator-side oracle,step/trajectory,deviation from task-consistent expected actions,partial (calibrated-confidence intent hypotheses; monitor precision/recall),7,peripheral: monitor infers the agent's beliefs/intent from trajectories; guardrail memory distilled across episodes,"Monitor infers beliefs, intent hypotheses with calibrated confidence and expected actions from full trajectories (Reason-Verify-Refine), and distills critiques into a persistent semantic guardrail memory. Outperforms ensemble monitors on SHADE-Arena and CUA-SHADE-Arena; no numbers in abstract.",ahmed2026agenttom,Nesreen K. Ahmed,Agent-ToM: Learning to Monitor Autonomous LLM Agents via Theory-of-Mind Reasoning
2602.20659,2026-02-24,RB-VLA: recursive belief VLA,include,learned world model,belief state,self-supervised world-model objective (action-conditioned latent),partial (ablation of belief module),3,peripheral: latent belief state for VLA robots rather than LLM decision agents; useful contrast to context-as-belief,Compact latent belief recursively updated with action-conditioned world-model losses; VLM queried once per task for intent; belief + intent condition a diffusion policy. Ablation: 32.5% success without belief vs 77.5% with; up to 5x lower latency and constant memory vs pi_0.,bagaria2026recursive,Vaidehi Bagaria,Recursive Belief Vision Language Action Models
2609.01861,2026-09-01,BCO: belief-calibrated scaffold optimization,include,model-written,belief state,evaluation of new candidate scaffolds (score/trace feedback),yes (predictive accuracy of the world-model document on environment response; falsified-content control),3;5;8,core: explicit written belief/world-model document revised each optimization round,"The coding-agent optimizer writes its belief about how the environment responds to edits as a persistent in-context document and revises it after each candidate evaluation. Higher train passrate than a matched control on five benchmarks, gap holds on held-out splits; a fresh predictor given the document forecasts environment response better than with no document or a falsified copy.",chen2026beliefcalibrated,Yuhan Chen,Belief-Calibrated Optimization: An Explicit World Model for Agentic Optimization
2604.08401,2026-04-09,SAVeR: self-audited verified reasoning,include,context (free-form trace),belief state,adversarial audit locating logical/evidential violations,partial (reasoning faithfulness metrics),4,core: failure mode of unsupported beliefs propagating into memory; verify-before-commit repair,"Generates persona-diverse candidate beliefs, adversarially audits them for logical/evidential violations, and repairs via constraint-guided minimal interventions before action commitment. Improves faithfulness on six benchmarks while keeping end-task performance; no headline number in abstract.",yuan2026verify,Wenhao Yuan,Verify Before You Commit: Towards Faithful Reasoning in LLM Agents via Self-Auditing
2605.23972,2026-05-13,Why world models: LLM state-tracking failures (Flux),include,context (free-form trace),n/a,none,partial (qualitative state-tracking error analysis),4;8,supporting: evidence that pure text-context agents fail at persistent state tracking,"Flux environment with natural-language rules compiled to an explicit state simulator; RL agents with latent-state access win ~79% vs ~11% for LLMs on text observations. Failure modes: invalid actions, state-tracking errors, short-horizon reasoning.",alaswad2026why,Feisal Alaswad,Why We Need World Models for AGI: Where LLMs Fail and How World Models May Outperform
2604.18401,2026-04-20,CAPO: critic-guided action-aligned PO,include,context (free-form trace),action/turn,none (critic value at action boundary),no,5,core: action-level (not token-level) credit via critic,"Critic estimates state value at action boundaries and assigns the advantage to the whole action; action-aware policy ratio aggregates token ratios with length calibration. Outperforms PPO/GRPO-style baselines on multi-hop QA, paper search and text-world tasks; no headline number in abstract.",wang2026capo,Daoyu Wang,CAPO: Critic-Guided Action-Aligned Policy Optimization for Advancing LLM Agent Capabilities
