arxiv_id,date,title_short,decision,who_maintains_belief,credited_object,revision_signal,belief_level_metrics,survey_section,role_in_survey,note,bibkey,first_author,title
2604.02869,2026-04-03,MT-GRPO Iterative Reward Calibration,include,context (free-form trace),action/turn,"none (per-turn reward calibrated from rollout discriminativeness)",no,5;7,"turn-level credit assignment for tool-calling agents; cautionary result on dense per-turn rewards","MT-GRPO + GTPO hybrid advantage on Tau-Bench airline with an LLM user simulator; naive dense per-turn rewards degrade performance by up to 14pp, calibrated rewards lift Qwen3-30B-A3B from 58.0% to 69.5%.",modecrua2026multiturn,Wachiravit Modecrua,Multi-Turn Reinforcement Learning for Tool-Calling Agents with Iterative Reward Calibration
2606.10507,2026-06-09,HIPIF,include,model-written,step/trajectory,"subgoal completion (history folding) + hierarchical reflection",no,3;4;5,"model-written compressed state via subgoal folding; process rewards tied to subgoal transitions","Trains agent end-to-end to plan explicit subgoals and fold completed subgoal histories to cut long-context interference; subgoal-oriented process rewards and hierarchical reflection without auxiliary models. Numbers not given in abstract.",diao2026hipif,Juncheng Diao,HIPIF: Hierarchical Planning and Information Folding for Long-Horizon LLM Agent Learning
2606.22995,2026-06-22,G2PO,include,context (free-form trace),step/trajectory,"globally standardized TD error over state-transition graph",no,5,"graph-structured step-level credit assignment; state identity via observation aggregation","Merges identical observations across rollouts into a state-transition graph, estimates group-aggregated state values and edge-centric advantages; up to 22.2% success gain over GRPO on WebShop/ALFWorld/AppWorld.",wang2026groupgraph,Yunan Wang,Group-Graph Policy Optimization for Long-Horizon Agentic Reinforcement Learning
2605.07058,2026-05-08,MedExAgent,include,context (free-form trace),output,"none (composite outcome reward: accuracy + tool quality + exam cost)",no,6;7,"POMDP-framed evidence acquisition (ask vs. examine vs. diagnose) under explicit noise model","Formalizes diagnosis as a POMDP with question/exam/diagnose actions and seven patient + three exam noise types; SFT on Calgary-Cambridge dialogues then DAPO on a cost-aware composite reward. Headline: comparable accuracy to larger models at lower exam cost.",gao2026medexagent,Yicheng Gao,"MedExAgent: Training LLM Agents to Ask, Examine, and Diagnose in Noisy Clinical Environments"
2604.22820,2026-04-17,Cyclic subtask graphs,include,model-written,n/a,"state-analysis-and-routing agent applies natural-language transition criteria",no,4;6,"workflow-level revisitation as recovery under partial observability; cost of backtracking","Fully connected subtask graph with an LLM state-analysis/routing agent vs. DepDAG and ReAct on TextCraft/ALFWorld/Finance-Agent; revisitation helps in ALFWorld (recovery setting) but adds overhead in prerequisite-chain tasks. Includes fault-injection and token-cost accounting.",gharzeddine2026complete,Luay Gharzeddine,"Complete Cyclic Subtask Graphs for Tool-Using LLM Agents: Flexibility, Cost, and Bottlenecks in Long-Horizon Workflows"
2601.12538,2026-01-18,Agentic Reasoning survey,include,n/a,n/a,n/a,no,1,"neighbouring survey to position against (memory/feedback/world modeling as open problems)","Survey organizing agentic reasoning into foundational, self-evolving, and multi-agent layers and in-context vs. post-training; lists world modeling and long-horizon interaction as open directions but does not treat belief state as a first-class object.",wei2026agentic,Tianxin Wei,Agentic Reasoning for Large Language Models
2605.21768,2026-05-20,Memory-R2 / LoGo-GRPO,include,external memory,belief state,"local rerollouts from shared intermediate memory state",partial (memory-operation outcomes compared via local rerollouts),3;5,"credit assignment to memory-write operations; memory as part of the environment","LoGo-GRPO combines global trajectory-level GRPO with local rerollouts that branch from the same intermediate memory state so memory add/update/delete decisions get fair group comparisons; fact extractor and memory manager share one backbone; curriculum 8 to 16 to 32 sessions.",yan2026memoryr2,Sikuan Yan,Memory-R2: Fair Credit Assignment for Long-Horizon Memory-Augmented LLM Agents
2606.07367,2026-06-05,Q-Evolve,include,context (free-form trace),step/trajectory,"advantage from in-distribution IQL critic",no,5,"learned value function as process-reward labeler (no backtracking)","Iteratively fits a weighted Implicit Q-Learning critic on expert + self-generated trajectories, derives step-wise process rewards from advantages, then does behavior-proximal policy optimization; evaluated on ALFWorld/WebShop/ScienceWorld. Numbers not given in abstract.",zhang2026selfevolving,Yudi Zhang,Self-evolving LLM agents with in-distribution Optimization
2604.01212,2026-04-01,YC-Bench,include,model-written,n/a,"scratchpad persistence across context truncation",partial (scratchpad usage as predictor of success; adversarial-client detection failure rate),4;7,"long-horizon POMDP benchmark where explicit state persistence predicts success","Year-long simulated startup over hundreds of turns; scratchpad usage is the strongest predictor of success and failure to detect adversarial clients causes 47% of bankruptcies; Claude Opus 4.6 best at $1.27M final funds.",he2026ycbench,Muyu He,YC-Bench: Benchmarking AI Agents for Long-Term Planning and Consistent Execution
2606.06673,2026-06-04,ULPS,exclude(BERT policy-shaping for MiniGrid PPO; not an LLM decision agent with state maintenance),n/a,n/a,n/a,n/a,n/a,n/a,"Uncertainty-weighted action suggestions from a fine-tuned BERT via MC dropout blended into PPO on MiniGrid.",bhatta2026uncertaintyaware,Ujjwal Bhatta,Uncertainty-Aware LLM-Guided Policy Shaping for Sparse-Reward Reinforcement Learning
2606.01886,2026-06-01,InKH financial harness,include,external memory,n/a,"passive knowledge injection from user/market/portfolio/tool events; temporal graph memory",partial (stale-knowledge usage rate),3;6,"finance-domain structured state maintenance via temporal graph memory","Interaction-native knowledge harness converts events into structured operational knowledge with temporal graph memory and wiki audit surfaces; on a synthetic benchmark reports task quality 0.815 at 900 ms and 96.58% reduction in stale-knowledge usage vs. baselines.",borjigin2026absorbing,Ailiya Borjigin,Absorbing Complexity: An Interaction-Native Knowledge Harness for Financial LLM Agents
